ticker,total_rows,clean_rows,quarantine_rows,pct_quarantine
AFLT,204176,204057,119,0.06
TRMK,172537,167205,5332,3.09
TGKA,164541,157409,7132,4.33
TATN,204117,204077,40,0.02
SELG,130973,119890,11083,8.46
SBER,204339,204316,23,0.01
RTKM,203299,203252,47,0.02
PIKK,183422,174003,9419,5.14
OGKB,182826,180540,2286,1.25
MTSS,203728,203707,21,0.01
NVTK,203996,203942,54,0.03
MTLR,187092,186961,131,0.07
LSRG,169232,162650,6582,3.89
HYDR,204229,204199,30,0.01
IRAO,202804,202482,322,0.16
LKOH,204334,204315,19,0.01
MGNT,204297,204276,21,0.01
MSNG,173170,167805,5365,3.1
MSRS,128736,111983,16753,13.01
MRKP,140881,132104,8777,6.23
UTAR,67824,44612,23212,34.22
GCHE,126482,112239,14243,11.26
ALRS,204256,204185,71,0.03
MRKC,144417,132751,11666,8.08
PHOR,197275,193675,3600,1.82
VTBR,203969,203951,18,0.01
MOEX,204295,204280,15,0.01
RGSS,91112,75220,15892,17.44
