Стратегия,Категория,Gross (d),Net 0.05% (d),Net 0.06% (d),Δ (d),Gross (h),Net 0.04% (h),Net 0.05% (h),Δ (h)
S1 Mean Reversion,Контртренд,0.783,0.735,0.725,-0.048,0.243,0.154,0.132,-0.089
S2 Bollinger Bands,Контртренд,0.709,0.678,0.671,-0.031,0.679,0.452,0.395,-0.228
S3 Donchian Channel,Тренд,0.967,0.888,0.873,-0.079,0.736,0.661,0.643,-0.075
S4 Supertrend,Тренд,0.829,0.749,0.733,-0.08,0.906,0.827,0.807,-0.079
S5 Pivot Points,Диапазон,0.364,0.346,0.342,-0.018,0.645,0.576,0.558,-0.069
S6 VWAP,Диапазон,0.78,0.735,0.726,-0.045,0.352,0.191,0.151,-0.161
Контртренд,Контртренд,0.746,0.707,0.698,-0.04,0.461,0.303,0.264,-0.159
Тренд,Тренд,0.898,0.819,0.803,-0.08,0.821,0.744,0.725,-0.077
Диапазон,Диапазон,0.572,0.54,0.534,-0.032,0.498,0.383,0.355,-0.115
Среднее,,0.739,0.689,0.678,-0.05,0.594,0.477,0.448,-0.117
