Section,Portfolio,k,Avg_Exposure_pct,Return_pct,Vol_pct,Sharpe,MDD_pct,Calmar,Beta,Alpha_pct,Comment,Free_Capital_pct,MMF_Return_pct,Total_Return_pct,Total_Vol_pct,Total_Sharpe,Total_MDD_pct,Total_Calmar,Strat_Sharpe,Delta_Sharpe
Main,IMOEX B&H,1x,100.0,-3.54,29.17,-0.12,-50.76,-0.07,1.0,—,Benchmark (ценовой индекс),,,,,,,,,
Main,META-A,1x,15.9,6.24,4.37,1.43,-3.22,1.94,0.0059,6.26,Базовый (без прогнозов),,,,,,,,,
Main,META-B,1x,4.1,3.63,1.31,2.78,-0.6,6.1,0.0025,3.64,Адаптивные стопы,,,,,,,,,
Main,META-C,1x,7.4,4.95,2.92,1.69,-2.0,2.47,0.0039,4.96,Режимный фильтр,,,,,,,,,
Main,META-D,1x,12.3,7.31,2.78,2.63,-2.16,3.38,-0.0004,7.31,Vol-gate,,,,,,,,,
Main,META-BEST,1x,12.4,7.49,2.79,2.68,-2.1,3.57,-0.0003,7.48,Лучший подход по стратегии,,,,,,,,,
Main,META-MEAN(BCD),1x,8.0,5.3,2.18,2.43,-1.35,3.93,0.002,5.3,Средний эффект прогнозов,,,,,,,,,
Main,META-BEST × 2,2x,24.8,14.97,5.58,2.68,-4.16,3.6,—,—,Экспозиция 24.8% (макс 51.0%),,,,,,,,,
Main,META-BEST × 3,3x,37.2,22.46,8.37,2.68,-6.2,3.62,—,—,Экспозиция 37.2% (макс 76.5%),,,,,,,,,
Main,META-BEST × 5,5x,62.1,37.43,13.96,2.68,-10.19,3.67,—,—,"Экспозиция 62.1% (макс 127.5%), >100% в 3.5% дней",,,,,,,,,
Main,META-D × 2,2x,24.6,14.63,5.57,2.63,-4.3,3.4,—,—,Экспозиция 24.6% (макс 49.0%),,,,,,,,,
Main,META-D × 3,3x,37.0,21.94,8.35,2.63,-6.4,3.43,—,—,Экспозиция 37.0% (макс 73.5%),,,,,,,,,
MMF,META-A,1x,,,,,,,,,,84.1,7.37,13.61,4.37,3.11,-2.79,4.88,1.43,1.68
MMF,META-B,1x,,,,,,,,,,95.9,8.43,12.07,1.31,9.22,-0.29,41.78,2.78,6.44
MMF,META-C,1x,,,,,,,,,,92.6,8.12,13.07,2.92,4.48,-1.16,11.23,1.69,2.79
MMF,META-D,1x,,,,,,,,,,87.7,7.7,15.01,2.78,5.4,-1.31,11.42,2.63,2.77
MMF,META-BEST,1x,,,,,,,,,,87.6,7.69,15.17,2.79,5.44,-1.28,11.88,2.68,2.76
MMF,META-MEAN(BCD),1x,,,,,,,,,,92.0,8.08,13.38,2.18,6.15,-0.64,20.98,2.43,3.72
MMF,META-BEST × 2,2x,,,,,,,,,,75.2,6.59,21.56,5.58,3.87,-3.14,6.87,2.68,1.19
MMF,META-BEST × 3,3x,,,,,,,,,,62.8,5.49,27.94,8.37,3.34,-5.08,5.5,2.68,0.66
MMF,META-BEST × 5,5x,,,,,,,,,,38.3,3.33,40.75,13.95,2.92,-9.54,4.27,2.68,0.24
MMF,META-D × 2,2x,,,,,,,,,,75.4,6.61,21.23,5.56,3.82,-3.25,6.53,2.63,1.19
MMF,META-D × 3,3x,,,,,,,,,,63.0,5.52,27.45,8.34,3.29,-5.2,5.28,2.63,0.66
