strategy,timeframe,recalib_freq,train_window,sharpe_median,sharpe_mean,n_positive
S1_MeanRev,daily,63,504,-0.1568,-0.0943,7
S1_MeanRev,daily,126,504,-0.1089,-0.1457,6
S1_MeanRev,daily,252,504,-0.2258,-0.2604,5
S1_MeanRev,daily,126,252,0.0141,0.0494,9
S1_MeanRev,hourly,63,504,-0.2514,-0.2202,4
S1_MeanRev,hourly,126,504,-0.0809,-0.1779,6
S1_MeanRev,hourly,252,504,-0.0753,0.0251,8
S1_MeanRev,hourly,126,252,-0.2156,-0.0788,6
S2_Bollinger,daily,63,504,-0.1744,-0.019,8
S2_Bollinger,daily,126,504,-0.2872,-0.201,5
S2_Bollinger,daily,252,504,-0.1052,-0.1808,7
S2_Bollinger,daily,126,252,-0.1202,-0.1833,6
S2_Bollinger,hourly,63,504,-0.1646,-0.0985,7
S2_Bollinger,hourly,126,504,-0.052,-0.123,7
S2_Bollinger,hourly,252,504,-0.1664,-0.206,4
S2_Bollinger,hourly,126,252,-0.0388,-0.0141,8
S3_Donchian,daily,63,504,0.3208,0.2509,12
S3_Donchian,daily,126,504,0.2649,0.2518,15
S3_Donchian,daily,252,504,0.1963,0.2116,13
S3_Donchian,daily,126,252,0.2463,0.1626,14
S3_Donchian,hourly,63,504,0.1498,0.2873,11
S3_Donchian,hourly,126,504,0.1958,0.2484,12
S3_Donchian,hourly,252,504,0.3937,0.2425,10
S3_Donchian,hourly,126,252,0.3291,0.2796,11
S4_Supertrend,daily,63,504,0.0023,0.028,9
S4_Supertrend,daily,126,504,0.0044,0.0072,10
S4_Supertrend,daily,252,504,0.1171,0.0754,11
S4_Supertrend,daily,126,252,0.1097,0.159,10
S4_Supertrend,hourly,63,504,0.2213,0.274,13
S4_Supertrend,hourly,126,504,0.2005,0.2265,10
S4_Supertrend,hourly,252,504,0.1166,0.1486,11
S4_Supertrend,hourly,126,252,0.1004,-0.033,10
S5_PivotPoints,daily,63,504,-0.3679,-0.3913,2
S5_PivotPoints,daily,126,504,-0.1052,-0.0943,7
S5_PivotPoints,daily,252,504,-0.2485,-0.2462,3
S5_PivotPoints,daily,126,252,-0.1102,-0.1989,4
S5_PivotPoints,hourly,63,504,-0.1926,-0.2208,7
S5_PivotPoints,hourly,126,504,-0.2654,-0.2083,4
S5_PivotPoints,hourly,252,504,-0.3762,-0.2768,4
S5_PivotPoints,hourly,126,252,-0.4493,-0.2762,6
S6_VWAP,daily,63,504,-0.2613,-0.1735,6
S6_VWAP,daily,126,504,-0.1003,-0.0585,8
S6_VWAP,daily,252,504,-0.2052,-0.1778,6
S6_VWAP,daily,126,252,-0.0982,-0.0975,8
S6_VWAP,hourly,63,504,-0.1371,-0.1879,7
S6_VWAP,hourly,126,504,-0.1757,-0.0557,7
S6_VWAP,hourly,252,504,0.1402,-0.0044,9
S6_VWAP,hourly,126,252,-0.2692,-0.1097,6
