strategy,timeframe,filter,pass_count
S1_MA_Reversion,daily,raw,3015
S1_MA_Reversion,daily,F1_vol_regime,2180
S1_MA_Reversion,daily,F2_consec_candles,2025
S1_MA_Reversion,daily,F3_vol_exhaust,500
S1_MA_Reversion,daily,F4_rsi,440
S1_MA_Reversion,daily,volume_filter,383
S1_MA_Reversion,daily,final,383
S2_Bollinger,daily,raw,3201
S2_Bollinger,daily,F1_vol_regime,2356
S2_Bollinger,daily,F2_consec_candles,2200
S2_Bollinger,daily,F3_vol_exhaust,601
S2_Bollinger,daily,F4_bw_p25,433
S2_Bollinger,daily,F5_rsi_divergence,33
S2_Bollinger,daily,volume_filter,31
S2_Bollinger,daily,final,31
S3_RSI_Reversion,daily,raw,1400
S3_RSI_Reversion,daily,F1_vol_regime,716
S3_RSI_Reversion,daily,F2_adx,78
S3_RSI_Reversion,daily,F3_consec_candles,74
S3_RSI_Reversion,daily,F4_vol_exhaust,17
S3_RSI_Reversion,daily,F5_slope,4
S3_RSI_Reversion,daily,volume_filter,4
S3_RSI_Reversion,daily,final,4
S4_Donchian,daily,raw,851
S4_Donchian,daily,F_multi_tf,851
S4_Donchian,daily,volume_filter,851
S4_Donchian,daily,final,851
S5_Supertrend,daily,raw,428
S5_Supertrend,daily,F_multi_tf,428
S5_Supertrend,daily,volume_filter,410
S5_Supertrend,daily,final,410
S6_DualMA,daily,raw,147
S6_DualMA,daily,F_multi_tf,147
S6_DualMA,daily,volume_filter,122
S6_DualMA,daily,final,122
S7_Keltner,daily,raw,7572
S7_Keltner,daily,F1_adx,1041
S7_Keltner,daily,F2_bw_squeeze,405
S7_Keltner,daily,F3_flat_ma,207
S7_Keltner,daily,F4_vol_compress,147
S7_Keltner,daily,F5_hurst,25
S7_Keltner,daily,volume_filter,25
S7_Keltner,daily,final,25
S8_RSI_Stoch,daily,raw,2922
S8_RSI_Stoch,daily,F1_adx,143
S8_RSI_Stoch,daily,F2_bw_squeeze,29
S8_RSI_Stoch,daily,F3_flat_ma,14
S8_RSI_Stoch,daily,F4_vol_compress,7
S8_RSI_Stoch,daily,F5_no_breakout,0
S8_RSI_Stoch,daily,volume_filter,0
S8_RSI_Stoch,daily,final,0
S1_MA_Reversion,hourly,raw,29312
S1_MA_Reversion,hourly,F1_vol_regime,21328
S1_MA_Reversion,hourly,F2_consec_candles,18403
S1_MA_Reversion,hourly,F3_vol_exhaust,4940
S1_MA_Reversion,hourly,F4_rsi,4214
S1_MA_Reversion,hourly,volume_filter,3883
S1_MA_Reversion,hourly,final,3883
S2_Bollinger,hourly,raw,31266
S2_Bollinger,hourly,F1_vol_regime,23215
S2_Bollinger,hourly,F2_consec_candles,20238
S2_Bollinger,hourly,F3_vol_exhaust,6116
S2_Bollinger,hourly,F4_bw_p25,4402
S2_Bollinger,hourly,F5_rsi_divergence,269
S2_Bollinger,hourly,volume_filter,242
S2_Bollinger,hourly,final,242
S3_RSI_Reversion,hourly,raw,15403
S3_RSI_Reversion,hourly,F1_vol_regime,7394
S3_RSI_Reversion,hourly,F2_adx,803
S3_RSI_Reversion,hourly,F3_consec_candles,761
S3_RSI_Reversion,hourly,F4_vol_exhaust,195
S3_RSI_Reversion,hourly,F5_slope,124
S3_RSI_Reversion,hourly,volume_filter,116
S3_RSI_Reversion,hourly,final,116
S4_Donchian,hourly,raw,12262
S4_Donchian,hourly,F_multi_tf,5051
S4_Donchian,hourly,volume_filter,5051
S4_Donchian,hourly,final,5051
S5_Supertrend,hourly,raw,4806
S5_Supertrend,hourly,F_multi_tf,2560
S5_Supertrend,hourly,volume_filter,2440
S5_Supertrend,hourly,final,2440
S6_DualMA,hourly,raw,3636
S6_DualMA,hourly,F_multi_tf,3636
S6_DualMA,hourly,volume_filter,2823
S6_DualMA,hourly,final,2823
S7_Keltner,hourly,raw,78344
S7_Keltner,hourly,F1_adx,10845
S7_Keltner,hourly,F2_bw_squeeze,3525
S7_Keltner,hourly,F3_flat_ma,3438
S7_Keltner,hourly,F4_vol_compress,2314
S7_Keltner,hourly,F5_hurst,558
S7_Keltner,hourly,volume_filter,503
S7_Keltner,hourly,final,503
S8_RSI_Stoch,hourly,raw,28790
S8_RSI_Stoch,hourly,F1_adx,1419
S8_RSI_Stoch,hourly,F2_bw_squeeze,276
S8_RSI_Stoch,hourly,F3_flat_ma,269
S8_RSI_Stoch,hourly,F4_vol_compress,175
S8_RSI_Stoch,hourly,F5_no_breakout,4
S8_RSI_Stoch,hourly,volume_filter,3
S8_RSI_Stoch,hourly,final,3
