rank,strategy,timeframe,ticker,sharpe,annual_return,max_drawdown,calmar,exposure,profit_factor
1,S4_Donchian,hourly,TATN,1.3874427571042758,0.3329045091404242,-0.3337646710949868,0.9974228490039384,0.4659671213711088,1.1554083870828524
2,S6_DualMA,hourly,NVTK,1.123956854155604,0.1540101636424265,-0.1889859141637275,0.8149293259443671,0.1681725852770189,1.19969715815076
3,S6_DualMA,hourly,TATN,1.047019943507061,0.1220103632572542,-0.1103846363541251,1.10532015402789,0.1446659671213711,1.2124379574992117
4,S6_DualMA,hourly,ALRS,0.9616864554416146,0.1222676987722878,-0.1751580117095079,0.6980422852427874,0.1609026758890519,1.1699242958285574
5,S6_DualMA,hourly,AFLT,0.8688503701922028,0.1066052545647786,-0.1468450486693865,0.7259710526896586,0.1464402990288549,1.1690499934515166
6,S6_DualMA,daily,LKOH,0.834050207607295,0.1210540678489353,-0.2152014818830782,0.5625150291237566,0.1160602258469259,1.7259965762965117
7,S4_Donchian,hourly,LKOH,0.7884894298196387,0.2534003329851726,-0.4610363294340328,0.5496320285567221,0.4662195207154335,1.130982884940819
8,S4_Donchian,hourly,NVTK,0.773619720355431,0.1902102697803696,-0.385940477941803,0.4928487180063345,0.4542971212439588,1.079705978049279
9,S5_Supertrend,daily,MTSS,0.7539256070192508,0.1003864929578234,-0.1487348981720128,0.6749357023240492,0.2184557438794727,1.3879823633837032
10,S6_DualMA,hourly,MTLR,0.7388843842195593,0.1131166139939588,-0.4850302888113422,0.2332155673641997,0.1423278573925201,1.1496143656122326
