Strategy,App,GrossSharpe,Net0.05Sharpe,Net0.06Sharpe,Tr/yr,GrossRet%,Net0.05Ret%,Net0.06Ret%
S1_MeanRev,A,0.6054,0.5687,0.5613,2.13,4.48,4.27,4.22
S1_MeanRev,B,0.608,0.5755,0.5689,1.83,4.06,3.88,3.84
S1_MeanRev,C,0.7832,0.7351,0.7253,2.53,5.0,4.75,4.7
S1_MeanRev,D,0.7433,0.7142,0.7083,1.63,4.57,4.41,4.37
S2_Bollinger,A,0.5349,0.5121,0.5075,1.52,4.69,4.54,4.51
S2_Bollinger,B,0.5348,0.5084,0.5032,1.52,3.96,3.81,3.78
S2_Bollinger,C,0.7088,0.6776,0.6712,1.87,5.37,5.18,5.15
S2_Bollinger,D,0.5837,0.5643,0.5605,1.19,4.14,4.02,4.0
S3_Donchian,A,0.548,0.5271,0.5229,4.31,18.04,17.58,17.49
S3_Donchian,B,0.8363,0.785,0.7747,5.03,11.93,11.44,11.34
S3_Donchian,C,0.967,0.8884,0.8726,11.14,19.49,18.37,18.15
S3_Donchian,D,0.9162,0.8898,0.8845,4.66,21.51,21.02,20.92
S4_Supertrend,A,0.5145,0.4939,0.4898,3.1,15.92,15.59,15.52
S4_Supertrend,B,0.6482,0.597,0.5864,2.3,6.48,6.25,6.21
S4_Supertrend,C,0.8287,0.7492,0.7333,9.23,16.98,16.06,15.87
S4_Supertrend,D,0.7692,0.746,0.7414,3.06,18.04,17.71,17.64
S5_PivotPoints,A,0.3304,0.3116,0.3079,0.73,1.97,1.9,1.88
S5_PivotPoints,B,0.4009,0.3881,0.3855,0.63,2.34,2.28,2.26
S5_PivotPoints,C,0.3636,0.3457,0.342,0.61,1.55,1.49,1.48
S5_PivotPoints,D,0.313,0.3025,0.3004,0.5,1.82,1.77,1.76
S6_VWAP,A,0.7232,0.6808,0.6722,1.99,4.01,3.81,3.77
S6_VWAP,B,0.7567,0.7199,0.7125,1.89,4.01,3.82,3.78
S6_VWAP,C,0.78,0.7347,0.7256,1.94,3.95,3.75,3.71
S6_VWAP,D,0.8077,0.7725,0.7653,1.6,4.16,4.0,3.97
