Strategy,App,GrossSharpe,Net0.04Sharpe,Net0.05Sharpe,Tr/yr,GrossRet%,Net0.04Ret%,Net0.05Ret%
S1_MeanRev,A,0.2468,0.157,0.1347,2.46,0.55,0.35,0.3
S1_MeanRev,B,0.3958,0.3348,0.3193,1.82,1.17,1.02,0.99
S1_MeanRev,C,0.2435,0.1542,0.1322,2.42,0.52,0.33,0.28
S1_MeanRev,D,0.4009,0.3652,0.3562,0.85,0.97,0.9,0.89
S2_Bollinger,A,0.5575,0.427,0.3938,7.06,3.23,2.67,2.53
S2_Bollinger,B,0.6821,0.5144,0.4705,6.1,2.65,2.16,2.04
S2_Bollinger,C,0.6791,0.4516,0.3947,14.58,3.35,2.2,1.91
S2_Bollinger,D,0.7418,0.6305,0.6026,4.89,3.64,3.25,3.15
S3_Donchian,A,0.5778,0.4906,0.4687,20.69,19.29,17.64,17.22
S3_Donchian,B,1.0551,0.8792,0.835,20.51,11.7,10.06,9.65
S3_Donchian,C,0.7358,0.6613,0.6427,12.97,21.01,19.97,19.71
S3_Donchian,D,0.8137,0.7315,0.711,18.16,22.4,20.95,20.59
S4_Supertrend,A,0.6876,0.5905,0.5662,17.08,16.83,15.46,15.12
S4_Supertrend,B,0.6938,0.5501,0.5156,9.42,4.89,4.13,3.95
S4_Supertrend,C,0.9057,0.8268,0.807,11.2,18.24,17.35,17.12
S4_Supertrend,D,0.825,0.7492,0.7303,12.12,17.64,16.68,16.44
S5_PivotPoints,A,0.5301,0.454,0.4345,3.19,2.13,1.87,1.81
S5_PivotPoints,B,0.6128,0.5222,0.4994,3.04,2.03,1.79,1.73
S5_PivotPoints,C,0.645,0.5761,0.5583,2.52,2.12,1.92,1.87
S5_PivotPoints,D,0.5675,0.5296,0.5199,1.59,2.23,2.1,2.07
S6_VWAP,A,0.2381,0.0624,0.0192,4.96,0.72,0.33,0.23
S6_VWAP,B,0.1906,0.0287,-0.0102,4.18,0.36,0.02,-0.06
S6_VWAP,C,0.3517,0.1909,0.1513,3.86,1.06,0.75,0.67
S6_VWAP,D,0.1871,0.1713,0.1673,0.43,0.56,0.53,0.52
