year,horizon,best_ml,w_har,method,q_hybrid,q_har,q_xgb,q_lgb,hybrid_rank
2017,1,xgboost,0.2,default,0.2561610133361861,0.2745061743457289,0.2618158028749368,0.3243627560795897,1
2017,5,xgboost,0.2,default,0.3183342675641093,0.2948379169044094,0.3329214852593612,5.28722011862743,2
2017,22,xgboost,0.2,default,0.3392980529236734,0.3181264784691688,0.3477583202893904,0.3643040529344124,2
2018,1,xgboost,0.38,val_grid,0.3499745591264852,0.4176134624999552,0.3418943725793562,0.3610138391807888,2
2018,5,xgboost,0.55,val_grid,0.4426394593475137,0.4819638898269515,0.4321199095483098,3.478608367303519,2
2018,22,xgboost,0.55,val_grid,0.449224588732821,0.4592596989539378,0.4535116458545949,0.4619601501233244,1
2019,1,xgboost,0.450152528780198,inverse_qlike,0.2778536930569786,0.3051889596626139,0.2765870679794831,0.2897990756812226,2
2019,5,xgboost,0.05,val_grid,0.3930551380258315,0.4242713186685876,0.3952063958343282,0.3815359578004441,2
2019,22,xgboost,0.46,val_grid,0.4483917831212405,0.4669438984991557,0.4688809463065296,0.4550950907226274,1
2020,1,xgboost,0.19,val_grid,0.3534272622367964,0.4640495347419373,0.3502083923107401,0.309079293500833,3
2020,5,lightgbm,0.4,val_grid,0.4977451913232099,0.5718032724299447,0.8972928878334896,0.5593951568487305,1
2020,22,lightgbm,0.52,val_grid,1.007310182784248,1.151861718402396,1.005680917644723,0.9607044614558832,3
2021,1,lightgbm,0.09,val_grid,0.2300373787934987,0.2955788793782226,0.2417569740376411,0.2323303968942989,1
2021,5,lightgbm,0.55,val_grid,0.3044977162456803,0.3286499849486805,0.3978910013018075,0.4081397339812005,1
2021,22,lightgbm,0.4547570961915996,inverse_qlike,0.445464962974771,0.492375152282643,0.5603325246247892,0.4760414586454385,1
2022,1,lightgbm,0.29,val_grid,0.6798892959835218,1.3068849178467143,0.7505249421428883,0.6255816784764333,2
2022,5,xgboost,0.55,val_grid,3.5741844323486,3.2637817957079114,4.455581426587081,2.7232107342809635,3
2022,22,lightgbm,0.55,val_grid,3.4561835961175693,3.890384250002075,5.4816576551806735,3.2008888670168747,2
2023,1,lightgbm,0.3237218587384467,inverse_qlike,0.3849227930082241,0.4777542755917895,0.4292223590961296,0.3810567274026282,2
2023,5,lightgbm,0.4548545401801349,inverse_qlike,0.4448396111994041,0.5125099374301717,0.46334178227145,0.5007183051347461,1
2023,22,lightgbm,0.4513842316049726,inverse_qlike,0.5196129660044712,0.5014641936372608,0.4604581272981049,0.6254642806641765,3
2024,1,lightgbm,0.07,val_grid,0.3122931311178892,0.4378024836978081,0.3372632857392348,0.3138786365846193,1
2024,5,xgboost,0.25,val_grid,0.5098019734513796,0.5472141857779154,0.5217965768684404,0.596581897261687,1
2024,22,xgboost,0.25,val_grid,0.6013995681524462,0.6426943487526098,0.6241217483379591,0.6289121293477264,1
2025,1,lightgbm,0.19,val_grid,0.5718058176204085,0.7373323985166415,0.6126890967928151,0.5684446814029694,2
2025,5,xgboost,0.42,val_grid,0.6963470668553926,0.7372593010664935,0.7035210954594895,0.7259949799531775,1
2025,22,xgboost,0.48,val_grid,0.7218350685424139,0.7244559577136546,0.7440655737297105,0.6585039318860765,2
2026,1,lightgbm,0.15,val_grid,0.4866726970383302,0.5680267018659231,0.5183346907373084,0.4922424013131266,1
2026,5,xgboost,0.05,val_grid,0.5280641842855581,0.4940497442409868,0.5322045179618392,0.7530588901282858,2
2026,22,lightgbm,0.44,val_grid,0.6501922020093728,0.6496531932636025,0.6680154388200542,0.7117125929213564,2
