year,horizon,HAR-J,XGBoost,LightGBM,SimpleAvg,BestSingle,V1_Adaptive,V6_Trimmed,V6_TrimmedW,V7_Rolling,V2_MultiVal
2017,1,0.2745061743457289,0.2618158028749368,0.32436275607958975,0.25321743963896776,0.2745061743457289,0.2561610133361861,0.2562110515060508,0.2497977480062472,0.24631026241296114,0.25321743963896776
2018,1,0.41761346249995523,0.34189437257935623,0.3610138391807888,0.33271580573581705,0.34189437257935623,0.3499745591264852,0.354300663883456,0.33661989290687966,0.33647643124262,0.33785696631011364
2019,1,0.3051889596626139,0.2765870679794831,0.28979907568122265,0.27585005737234497,0.2765870679794831,0.27785369305697866,0.2791856537978651,0.2741951148425598,0.2760047652867088,0.27487379491041786
2020,1,0.46404953474193733,0.35020839231074014,0.309079293500833,0.3243014776110871,0.35020839231074014,0.3534272622367964,0.35697708413372037,0.33682268037533697,0.31810589821115204,0.32468413104225624
2021,1,0.2955788793782226,0.2417569740376411,0.23233039689429894,0.23047989460209664,0.23233039689429894,0.23003737879349878,0.2469410029024922,0.23770368954477894,0.23181540823306537,0.22638397714770908
2022,1,1.3068849178467143,0.7505249421428883,0.6255816784764333,0.7409158392914322,0.6255816784764333,0.6798892959835218,0.739291101652636,0.7331834344560394,0.7049128490324925,0.6552825387279757
2023,1,0.4777542755917895,0.42922235909612966,0.3810567274026282,0.39656400685513366,0.3810567274026282,0.38492279300822413,0.4104454892722897,0.39947167483168255,0.3954673434860455,0.3820167346581304
2024,1,0.43780248369780816,0.3372632857392348,0.31387863658461934,0.3189873441891616,0.31387863658461934,0.31229313111788926,0.35008215990613173,0.3318443349726501,0.31532502347655106,0.31312519001414774
2025,1,0.7373323985166415,0.6126890967928151,0.5684446814029694,0.5919168986764666,0.5684446814029694,0.5718058176204085,0.588050783847795,0.5871781732428365,0.5898520918340248,0.5733152584199367
2017,5,0.2948379169044094,0.3329214852593612,5.28722011862743,4.1988826693002625,0.2948379169044094,0.3183342675641093,0.30114266832479103,0.32315260451317385,1.9295582824877158,4.1988826693002625
2018,5,0.48196388982695154,0.4321199095483098,3.478608367303519,2.444611996521922,0.48196388982695154,0.44263945934751375,0.4404639038505897,0.4339122576011213,0.9257281432364952,0.4451352167796942
2019,5,0.42427131866858764,0.39520639583432826,0.38153595780044414,0.3766118773505357,0.39520639583432826,0.39305513802583153,0.3791540509119092,0.3787171148240588,0.3691903988007871,0.3851150011926364
2020,5,0.5718032724299447,0.8972928878334896,0.5593951568487305,0.5147151471249062,0.5593951568487305,0.4977451913232099,0.5573921218260623,0.5188973270729114,0.45900063628686877,0.5390815903641
2021,5,0.3286499849486805,0.3978910013018075,0.4081397339812005,0.3089012450812691,0.4081397339812005,0.3044977162456803,0.3302167233686818,0.31748574084208825,0.27774204069673597,0.311629064042904
2022,5,3.2637817957079114,4.455581426587081,2.7232107342809635,3.141444263825987,3.2637817957079114,3.5741844323486,3.2209403831040384,3.1528462169414104,2.9996215767769536,2.9642292412441003
2023,5,0.5125099374301717,0.46334178227145,0.5007183051347461,0.43488079585516387,0.5007183051347461,0.4448396111994041,0.4595949829927796,0.4373783297083231,0.42732393974949573,0.4531396117544363
2024,5,0.5472141857779154,0.5217965768684404,0.596581897261687,0.45123983996544664,0.5217965768684404,0.5098019734513796,0.5071156992236502,0.48186071407900755,0.41077047692036883,0.5058104542578273
2025,5,0.7372593010664935,0.7035210954594895,0.7259949799531775,0.6495891370129669,0.7035210954594895,0.6963470668553926,0.6978351209582613,0.6724553120604894,0.6411706361608092,0.6518363135358511
2017,22,0.31812647846916886,0.3477583202893904,0.3643040529344124,0.3138370935839438,0.31812647846916886,0.33929805292367343,0.32040248120745285,0.31566212734462107,0.3021006215151916,0.31383709358394374
2018,22,0.4592596989539378,0.4535116458545949,0.4619601501233244,0.445689674830814,0.4592596989539378,0.449224588732821,0.455010188012797,0.45070818975938065,0.44342491764795444,0.4463141669633119
2019,22,0.46694389849915574,0.46888094630652966,0.4550950907226274,0.4453688260135956,0.46888094630652966,0.4483917831212405,0.446143159741454,0.4450560743928678,0.43378956352807846,0.4442752343889262
2020,22,1.151861718402396,1.005680917644723,0.9607044614558832,0.9678102038529199,0.9607044614558832,1.0073101827842479,0.9855386817475742,0.9707489058829547,0.9350107276844619,0.9930855520668417
2021,22,0.49237515228264306,0.5603325246247892,0.4760414586454385,0.4625453798460918,0.4760414586454385,0.44546496297477106,0.49128811781040005,0.4714772169109583,0.429870637309916,0.47718218114862654
2022,22,3.890384250002075,5.4816576551806735,3.2008888670168747,3.865529593303386,3.2008888670168747,3.4561835961175693,4.185893829705255,3.9708755525529194,3.626847613678569,3.581434203073564
2023,22,0.5014641936372608,0.4604581272981049,0.6254642806641765,0.48563538719866367,0.6254642806641765,0.5196129660044712,0.4655829843049939,0.45711206317027886,0.4513930630923099,0.5811973694964966
2024,22,0.6426943487526098,0.6241217483379591,0.6289121293477264,0.49571129451110235,0.6241217483379591,0.6013995681524462,0.6034960552326059,0.5610616418297878,0.4535166359904704,0.5043335489012492
2025,22,0.7244559577136546,0.7440655737297105,0.6585039318860765,0.6776931979483539,0.7440655737297105,0.7218350685424139,0.7153346018944684,0.7003885607702759,0.6708011251797693,0.6900294918528289
