ticker,aic,omega,alpha[1],gamma[1],beta[1],nu
SBER,542858.2660295006,21.323164194034252,0.09183467918616763,0.03165550927743829,0.8769000629625916,3.339592676867556
LKOH,531612.1108710931,35.162354642399904,0.1807755716550659,0.013544550353739191,0.7715876489646925,3.8044554047104038
TATN,556283.2418410227,52.541464297511865,0.24595432460460093,-0.03196928777848823,0.7478320535344005,3.6874985223143733
NVTK,551385.9288791001,45.840271200284796,0.1883069125061695,0.015053592425999775,0.7813713515502672,3.4803546989455816
VTBR,529577.9744784071,31.9673030440323,0.25734818187280456,-0.022547444710215286,0.7539255404823024,3.1313727085883714
ALRS,541424.0384911201,86.87617936105144,0.34300298571512744,0.058499470225976534,0.6277472797590169,2.782756023052786
AFLT,547596.3942557466,76.08409354632889,0.301287594525892,0.03688620368477484,0.6802693036284578,2.875189793542741
HYDR,548319.6399871092,69.33544548643606,0.30199232627795924,0.018669260822554642,0.6886730433108427,3.0647979277294564
MGNT,545319.0837394274,52.832467637283,0.24446908357886626,0.03351884229689646,0.7387714952726855,3.1030052388968423
MOEX,529736.9920514676,81.44898298028903,0.36821772495502186,0.015943852360426725,0.6238103508974729,2.7648875950867544
RTKM,508638.5591499562,29.493589495911433,0.30875470192878396,0.004344854024055052,0.6890728710592466,2.98111174275203
MTSS,533943.2447583931,54.08326748136894,0.27097988595763317,0.024206830426980866,0.7169166988288764,2.956103398243783
MTLR,593417.2163446011,124.79923764023395,0.23620640652822011,0.04115049770168473,0.7432183431797367,2.7962957009176694
IRAO,673815.1454241083,760.7547603162114,0.01,0.01,0.965,4.000107647228685
OGKB,536213.3871725614,82.3703499245276,0.2287118647551503,0.00590981042339604,0.7683332300337009,2.9795194307560826
PHOR,484762.6775339384,85.94628939996598,0.25436232543903403,0.030625170444593966,0.7303250893386692,2.8993401678146307
LSRG,410963.3286230648,67.25658663130714,0.28093303035712125,0.008850521597525158,0.7146417088358954,2.8833369333976524
