year,quarter,horizon,strategy,w_har,method,ml_model
2017,,1,annual,0.3,val_grid,xgboost
2017,,5,annual,0.6,val_grid,lightgbm
2017,,22,annual,0.6,val_grid,lightgbm
2018,,1,annual,0.07,val_grid,xgboost
2018,,5,annual,0.6,val_grid,lightgbm
2018,,22,annual,0.53,val_grid,lightgbm
2019,,1,annual,0.4429253117948888,inverse_qlike,xgboost
2019,,5,annual,0.45211155738431213,inverse_qlike,lightgbm
2019,,22,annual,0.28,val_grid,lightgbm
2020,,1,annual,0.18,val_grid,xgboost
2020,,5,annual,0.6,val_grid,lightgbm
2020,,22,annual,0.51,val_grid,lightgbm
2021,,1,annual,0.421631824468184,inverse_qlike,xgboost
2021,,5,annual,0.45,val_grid,lightgbm
2021,,22,annual,0.3,val_grid,lightgbm
2022,,1,annual,0.45107492586150494,inverse_qlike,xgboost
2022,,5,annual,0.52,val_grid,lightgbm
2022,,22,annual,0.6,val_grid,lightgbm
2023,,1,annual,0.3712349126946256,inverse_qlike,xgboost
2023,,5,annual,0.46129447793118256,inverse_qlike,lightgbm
2023,,22,annual,0.3798434661492452,inverse_qlike,lightgbm
2024,,1,annual,0.23,val_grid,xgboost
2024,,5,annual,0.32,val_grid,lightgbm
2024,,22,annual,0.6,val_grid,lightgbm
2025,,1,annual,0.44103746425263896,inverse_qlike,xgboost
2025,,5,annual,0.58,val_grid,lightgbm
2025,,22,annual,0.45378537285046266,inverse_qlike,lightgbm
2017,1.0,1,quarterly,0.3,val_grid,xgboost
2017,1.0,5,quarterly,0.6,val_grid,lightgbm
2017,1.0,22,quarterly,0.6,val_grid,lightgbm
2017,2.0,1,quarterly,0.12,val_grid,xgboost
2017,2.0,5,quarterly,0.6,val_grid,lightgbm
2017,2.0,22,quarterly,0.4161241532335823,inverse_qlike,lightgbm
2017,3.0,1,quarterly,0.1,val_grid,xgboost
2017,3.0,5,quarterly,0.6,val_grid,lightgbm
2017,3.0,22,quarterly,0.12,val_grid,lightgbm
2017,4.0,1,quarterly,0.03,val_grid,xgboost
2017,4.0,5,quarterly,0.6,val_grid,lightgbm
2017,4.0,22,quarterly,0.56,val_grid,lightgbm
2018,1.0,1,quarterly,0.07,val_grid,xgboost
2018,1.0,5,quarterly,0.6,val_grid,lightgbm
2018,1.0,22,quarterly,0.53,val_grid,lightgbm
2018,2.0,1,quarterly,0.45386845973264256,inverse_qlike,xgboost
2018,2.0,5,quarterly,0.47000000000000003,val_grid,lightgbm
2018,2.0,22,quarterly,0.445522416803067,inverse_qlike,lightgbm
2018,3.0,1,quarterly,0.4478464316446705,inverse_qlike,xgboost
2018,3.0,5,quarterly,0.4361171303762019,inverse_qlike,lightgbm
2018,3.0,22,quarterly,0.4660695066843194,inverse_qlike,lightgbm
2018,4.0,1,quarterly,0.4512161513533101,inverse_qlike,xgboost
2018,4.0,5,quarterly,0.44570381522185765,inverse_qlike,lightgbm
2018,4.0,22,quarterly,0.11,val_grid,lightgbm
2019,1.0,1,quarterly,0.4429253117948888,inverse_qlike,xgboost
2019,1.0,5,quarterly,0.45211155738431213,inverse_qlike,lightgbm
2019,1.0,22,quarterly,0.28,val_grid,lightgbm
2019,2.0,1,quarterly,0.21,val_grid,xgboost
2019,2.0,5,quarterly,0.6,val_grid,lightgbm
2019,2.0,22,quarterly,0.6,val_grid,lightgbm
2019,3.0,1,quarterly,0.18,val_grid,xgboost
2019,3.0,5,quarterly,0.6,val_grid,lightgbm
2019,3.0,22,quarterly,0.6,val_grid,lightgbm
2019,4.0,1,quarterly,0.14,val_grid,xgboost
2019,4.0,5,quarterly,0.6,val_grid,lightgbm
2019,4.0,22,quarterly,0.6,val_grid,lightgbm
2020,1.0,1,quarterly,0.18,val_grid,xgboost
2020,1.0,5,quarterly,0.6,val_grid,lightgbm
2020,1.0,22,quarterly,0.51,val_grid,lightgbm
2020,2.0,1,quarterly,0.39571770565765035,inverse_qlike,xgboost
2020,2.0,5,quarterly,0.42300210059723226,inverse_qlike,lightgbm
2020,2.0,22,quarterly,0.48049223299874483,inverse_qlike,lightgbm
2020,3.0,1,quarterly,0.40477381549261554,inverse_qlike,xgboost
2020,3.0,5,quarterly,0.09,val_grid,lightgbm
2020,3.0,22,quarterly,0.09,val_grid,lightgbm
2020,4.0,1,quarterly,0.41513057865651654,inverse_qlike,xgboost
2020,4.0,5,quarterly,0.29,val_grid,lightgbm
2020,4.0,22,quarterly,0.2,val_grid,lightgbm
2021,1.0,1,quarterly,0.421631824468184,inverse_qlike,xgboost
2021,1.0,5,quarterly,0.45,val_grid,lightgbm
2021,1.0,22,quarterly,0.3,val_grid,lightgbm
2021,2.0,1,quarterly,0.18,val_grid,xgboost
2021,2.0,5,quarterly,0.6,val_grid,lightgbm
2021,2.0,22,quarterly,0.6,val_grid,lightgbm
2021,3.0,1,quarterly,0.06,val_grid,xgboost
2021,3.0,5,quarterly,0.6,val_grid,lightgbm
2021,3.0,22,quarterly,0.6,val_grid,lightgbm
2021,4.0,1,quarterly,0.4512901159472768,inverse_qlike,xgboost
2021,4.0,5,quarterly,0.59,val_grid,lightgbm
2021,4.0,22,quarterly,0.6,val_grid,lightgbm
2022,1.0,1,quarterly,0.45107492586150494,inverse_qlike,xgboost
2022,1.0,5,quarterly,0.52,val_grid,lightgbm
2022,1.0,22,quarterly,0.6,val_grid,lightgbm
2022,2.0,1,quarterly,0.3173652118311675,inverse_qlike,xgboost
2022,2.0,5,quarterly,0.46877123523800857,inverse_qlike,lightgbm
2022,2.0,22,quarterly,0.37265219402154937,inverse_qlike,lightgbm
2022,3.0,1,quarterly,0.3511066824433042,inverse_qlike,xgboost
2022,3.0,5,quarterly,0.46870500046855096,inverse_qlike,lightgbm
2022,3.0,22,quarterly,0.3789451212453755,inverse_qlike,lightgbm
2022,4.0,1,quarterly,0.3459016610202291,inverse_qlike,xgboost
2022,4.0,5,quarterly,0.45137841534116957,inverse_qlike,lightgbm
2022,4.0,22,quarterly,0.37017081776710836,inverse_qlike,lightgbm
2023,1.0,1,quarterly,0.3712349126946256,inverse_qlike,xgboost
2023,1.0,5,quarterly,0.46129447793118256,inverse_qlike,lightgbm
2023,1.0,22,quarterly,0.3798434661492452,inverse_qlike,lightgbm
2023,2.0,1,quarterly,0.42,val_grid,xgboost
2023,2.0,5,quarterly,0.22,val_grid,lightgbm
2023,2.0,22,quarterly,0.01,val_grid,lightgbm
2023,3.0,1,quarterly,0.42,val_grid,xgboost
2023,3.0,5,quarterly,0.22,val_grid,lightgbm
2023,3.0,22,quarterly,0.49,val_grid,lightgbm
2023,4.0,1,quarterly,0.31,val_grid,xgboost
2023,4.0,5,quarterly,0.15,val_grid,lightgbm
2023,4.0,22,quarterly,0.6,val_grid,lightgbm
2024,1.0,1,quarterly,0.23,val_grid,xgboost
2024,1.0,5,quarterly,0.32,val_grid,lightgbm
2024,1.0,22,quarterly,0.6,val_grid,lightgbm
2024,2.0,1,quarterly,0.08,val_grid,xgboost
2024,2.0,5,quarterly,0.6,val_grid,lightgbm
2024,2.0,22,quarterly,0.23,val_grid,lightgbm
2024,3.0,1,quarterly,0.4480683861504367,inverse_qlike,xgboost
2024,3.0,5,quarterly,0.6,val_grid,lightgbm
2024,3.0,22,quarterly,0.4450891434819304,inverse_qlike,lightgbm
2024,4.0,1,quarterly,0.4462206693742962,inverse_qlike,xgboost
2024,4.0,5,quarterly,0.6,val_grid,lightgbm
2024,4.0,22,quarterly,0.4477763913788006,inverse_qlike,lightgbm
2025,1.0,1,quarterly,0.44103746425263896,inverse_qlike,xgboost
2025,1.0,5,quarterly,0.58,val_grid,lightgbm
2025,1.0,22,quarterly,0.45378537285046266,inverse_qlike,lightgbm
2025,2.0,1,quarterly,,inverse_qlike,xgboost
2025,2.0,5,quarterly,,inverse_qlike,lightgbm
2025,2.0,22,quarterly,,inverse_qlike,lightgbm
2025,3.0,1,quarterly,,inverse_qlike,xgboost
2025,3.0,5,quarterly,,inverse_qlike,lightgbm
2025,3.0,22,quarterly,,inverse_qlike,lightgbm
2025,4.0,1,quarterly,,inverse_qlike,xgboost
2025,4.0,5,quarterly,,inverse_qlike,lightgbm
2025,4.0,22,quarterly,,inverse_qlike,lightgbm
