year,HAR-J,XGBoost,LightGBM,V1_Adaptive
2017,0.2948379169044094,0.3329214852593612,5.28722011862743,0.3183342675641093
2018,0.48196388982695154,0.4321199095483098,3.478608367303519,0.44263945934751364
2019,0.42427131866858764,0.39520639583432826,0.3815359578004441,0.3930551380258315
2020,0.5718032724299447,0.8972928878334897,0.5593951568487305,0.4977451913232099
2021,0.3286499849486805,0.3978910013018075,0.40813973398120057,0.3044977162456803
2022,3.263781795707911,4.455581426587083,2.7232107342809635,3.5741844323486003
2023,0.5125099374301717,0.46334178227145,0.5007183051347461,0.444839611199404
2024,0.5472141857779154,0.5217965768684404,0.5965818972616871,0.5098019734513796
2025,0.7372593010664935,0.7035210954594895,0.7259949799531774,0.6963470668553928
2026,0.49404974424098685,0.5322045179618392,0.7530588901282859,0.5280641842855581
